Section,Components,Route,Access
Dashboard Home,"• KPI Cards (active users, revenue, jobs posted)
• Recent activity feed
• Pending moderation count badges
• System health indicators
• Quick action buttons",/admin/dashboard,All admin roles
User Management,"• User list with search/filter
• User detail view
• Suspend/ban controls
• Profile editor
• Activity timeline
• Manual account creation form",/admin/users,"Super Admin, Moderators, Support"
Content Moderation,"• Job moderation queue (tabs: pending/approved/rejected)
• Review moderation queue
• Bulk actions
• Quick approve/reject buttons
• Flagged content alerts",/admin/moderation,"Super Admin, Moderators"
Payment & Subscriptions,"• Transaction history table
• Revenue charts
• Subscription manager
• Refund interface
• Payment gateway toggle
• Razorpay configuration",/admin/payments,"Super Admin, Finance Admin"
System Controls,"• Feature toggles (registration, payments, etc.)
• Maintenance mode switch with message editor
• Geographic availability map
• Rate limiting configuration
• Cache management",/admin/system,Super Admin only
Communication Center,"• Email/WhatsApp toggle switches
• Email template library with editor
• Broadcast campaign builder
• Communication logs
• Deliverability analytics",/admin/communications,"Super Admin, Marketing Admin"
Content Management (CMS),"• Page list (landing, about, blog)
• WYSIWYG page editor
• Filter management (subjects, locations)
• Featured jobs manager
• Social media link editor
• Media library",/admin/content,"Super Admin, Content Moderators, Marketing"
Data & Backups,"• Backup history table
• Create backup button
• Storage configuration form
• Data export wizard
• Anonymization tools
• Retention policy settings",/admin/data,Super Admin only
Analytics & Reports,"• Real-time metrics dashboard
• Custom report builder
• User funnel visualization
• Revenue analytics
• Geographic heatmap
• Export reports button",/admin/analytics,All admin roles (filtered by permission)
Admin Management,"• Admin user list
• Role assignment interface
• Permission matrix editor
• Audit log viewer
• 2FA setup
• Password reset",/admin/settings/admins,Super Admin only
Support Tools,"• Support ticket queue
• User impersonation (View As)
• System alerts configuration
• Fraud detection dashboard
• Debug tools",/admin/support,"Super Admin, Customer Support"
