Category,Item,One-Time Cost,Monthly Cost,Annual Cost,Priority
Technology,Domain Name (.in + .com),"₹2,000",₹0,"₹2,000",Critical
Technology,Free Hosting (Vercel/Netlify),₹0,₹0,₹0,Critical
Technology,MongoDB Atlas (Free Tier → Paid),₹0,"₹0-3,000","₹15,000",Critical
Technology,Cloudinary (Image Storage),₹0,"₹0-1,500","₹8,000",High
Technology,SSL Certificate,₹0,₹0,₹0,Critical
Payment Gateway,Razorpay (2% transaction fee),₹0,Variable,Variable,High
Communication,Email Service (SendGrid/Brevo Free),₹0,"₹0-2,000","₹10,000",High
Communication,WhatsApp Business API,₹0,"₹5,000-15,000","₹100,000",Medium
Marketing,Social Media Setup (Free),₹0,₹0,₹0,High
Marketing,Google Ads (Post-launch),₹0,"₹10,000","₹120,000",Medium
Marketing,Facebook/Instagram Ads,₹0,"₹8,000","₹96,000",Medium
Legal,Business Registration (LLP/Pvt Ltd),"₹15,000",₹0,"₹15,000",Critical
Legal,Privacy Policy & Terms (Template),"₹5,000",₹0,"₹5,000",Critical
Operations,Analytics (Google Analytics - Free),₹0,₹0,₹0,High
Operations,Customer Support Tools (Free tier),₹0,"₹0-2,000","₹12,000",Medium
